"ProgramName","DemoURL","URL","Description","Types","ProvideDeptName","AgencyCodes","ContactAgency","ContactName","ContactEmail","Tel","Extension","PracticalCase","Teches","Authorization","VulnerabilityScan","ApiInfo"
"個人資料介接服務驗證系統","","https://github.com/moda-gov-tw/mydata-notify-and-authentication-testing-module;","資訊系統在提供個人資訊的處理過程中，確保資料傳輸的機密性及完整性很重要；因此本系統以MyData平台之資訊傳輸之驗證服務為範例，提供符合個人資料傳輸安全處理的程序及步驟，包含個人資料的請求方式、安全權杖的驗證及個人資料的封裝，支援訊息及檔案傳輸格式的傳輸功能驗證。

透過本系統，可協助改善技術人員因不熟悉處理個人資訊訊息流程及錯誤處理機制，而在開發測試過程中耗時費力的情境，加速將機關資訊系統個人資料提給例如MyData等平台的創新服務應用。

功能摘要：
1. 模擬資訊服務提供者(Service Provider)、資料請求者(Data Requester)及資料提供者(Data Provider)間，進行安全地進行個人資料傳輸步驟。
2. 模擬MyData權杖驗證流程及訊息處理流程。
3. 模擬MyData平台必要參數之檢核。
4. 輸出MyData介接訊息完整Log。","安全驗證;訊息處理/通知;介接/傳輸","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Java;Spring Boot","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:1;",""
"Green Web 網頁碳排計算機","https://greenweb.moda.gov.tw","https://github.com/moda-gov-tw/tw-web-carbon;","本網站為數位發展部113年度綠色數位行為淨零發展計畫的成果網站，包含網頁碳排計算功能、成果專區、網際網路永續設計指引（草案）。","碳排計算機","數位發展部","A29000000G","數位國際司","陳祈安","cachen@moda.gov.tw","02-2380-0343","","","Vue.js;PHP","Apache","GTONE SecurityPrism,Critical 0， Rec.-High 0， Rec.-Middle 0， Rec.-Low 0;",""
"Green Web網站","https://greenweb.moda.gov.tw","https://github.com/moda-gov-tw/tw-greenweb;","本網站為數位發展部113年度綠色數位行為淨零發展計畫的成果網站，包含網頁碳排計算功能、成果專區、網際網路永續設計指引（草案）。","碳排計算機","數位發展部","A29000000G","數位國際司","陳祈安","cachen@moda.gov.tw","02-2380-0343","","","Vue.js;PHP","CC0","GTONE SecurityPrism,Critical 0， Rec.-High 0， Rec.-Middle 0， Rec.-Low 0;",""
"政府資料開放平臺前端","","https://github.com/moda-gov-tw/opendata-frontend;","本專案為政府資料開放平臺前端開源，透過開源程式提供政府機關或民間團體，作為發展資料開放應用的參考，共同為政府開放資料盡一份心力。","資料一覽/檢索","數位發展部","A29000000G","數位發展部 多元創新司","曾華伶分析師","lynntseng@moda.gov.tw","02-23800392","","政府資料開放平臺,https://data.gov.tw/,無障礙檢測結果：AA;","Vue.js;HTML/CSS;Javascript;TypeScript","MIT License","SonarQube,;",""
"公共程式平臺","https://code.gov.tw/","https://github.com/moda-gov-tw/code-gov-tw;","公共程式平臺鼓勵跨機關、產業和公眾都可共同使用、 檢視、修正政府數位服務或系統的程式碼，將可促進機關數位交流，共同提升政府公共服務品質、提升政府公開透明。","資料一覽/檢索","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","公共程式平臺,https://code.gov.tw/,無障礙檢測結果：AAA;","Vue.js;HTML/CSS;MySQL","MIT","GitHub CodeQL,;GitHub Dependabot Alerts,;OWASP ZAP,;SonarQube,;",""
"publiccode.yml Standard","","https://github.com/moda-gov-tw/publiccodeyml-publiccode.yml/;","一種針對公共軟體的詮釋資料（metadata）描述標準，這標準對開發者以及技術背景較淺的人士都易於使用，目的是讓由公共行政機關和公共組織開發的軟體容易被發現。","標準","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","公共程式平臺,https://code.gov.tw/,無障礙檢測結果：AAA;","Python","CC0 v1.0","本專案為在地化成果，未涉及軟體開發作業。,;",""
"Matrix Client (Element Series) matrix-react-sdk","","https://github.com/moda-gov-tw/matrix-org.matrix-react-sdk/;","Element 是 Matrix 核心團隊基於去中心化標準開發的開放原始碼通訊軟體。此為該服務底層的 matrix-react-sdk ，可用於建置各種其他軟體。可應用網際網路 IP based 進行即時通訊。基於其開放特性，可整合其他程式，快速建構即時交換資料系統。除此之外，亦可與 Slack、Telegram 等其它通訊軟體進行串聯。","即時通訊","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Javascript;TypeScript;React","Apache-2.0","本專案為在地化成果，未涉及軟體開發作業。,;",""
"GOV.UK Forms Admin","","https://github.com/moda-gov-tw/alphagov.forms-admin/;","GOV.UK Forms 是英國 GDS 政府數位服務團隊維運之公部門線上表單平台。此為該服務背後的管理軟體。此服務開放程式原始碼，可提供政府各機關與單位利用該平台之模版，建立可供外部填寫之簡易表單。 此服務具有自動檢查遞交內容功能，確認回填資料正確性；範本功能讓使用更便利；可追蹤表單遞交狀態，衡量表單的易用性。程式設計符合英國政府制定之網路安全標準，保護資料安全。","表單填寫/資料上傳","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Ruby;SCSS","MIT License","本專案為在地化成果，未涉及軟體開發作業。,;",""
"數位發展部全球資訊網","https://moda.gov.tw/","https://github.com/moda-gov-tw/moda-official-website-full;","數位發展部全球資訊網，體現政府與民眾、政府與政府間傳遞數位發展規劃理念及施政成果的網站，是完整的內容管理系統（Content Management System）；發展之初即規劃整體程式原始碼開放予各界，提供一套可以參考的解決方案，方便應用情境相似的機關團體 Fork 使用；網站以使用者為中心設計、符合網站無障礙規範、提供多國語系架構、支援全站靜態化。","表單填寫/資料上傳;資料一覽/檢索","數位發展部","A29000000G","數位發展部 資訊處","許展銘","targee@moda.gov.tw","02-23800402","","數位發展部全球資訊網,https://moda.gov.tw/,無障礙檢測結果：AA;","HTML/CSS;Javascript;ASP.NET Core;C#;SQL Server","MIT License","Checkmarx,;",""
"Lighthouse 平臺","https://lighthouse.pdis.run/","https://github.com/PDIS/lighthouse;","Lighthouse 平臺使用 GitHub Actions 自動執行 Lighthouse 掃描，將報告集中展示。 Lighthouse 是一個開源的自動化工具，用於改善網頁的效能、品質和正確性。 Lighthouse 對網頁進行一系列測試並產生一份報告及評分。透過報告，我們可以審視未通過測試的項目以了解如何改進。","網頁效能檢測","行政院公共數位創新空間（PDIS）","pdis","行政院公共數位創新空間（PDIS）",,"all@pdis.nat.gov.tw",,"","Lighthouse 平臺,https://lighthouse.pdis.run/,無障礙檢測結果：AAA;","Lighthouse","CC0-1.0","GitHub CodeQL,;GitHub Dependabot Alerts,;",""
"Yivi (IRMA)","","https://github.com/moda-gov-tw/privacybydesign.irmamobile/;","Yivi 是開放原始碼的身份驗證服務。此為該服務 App 的原始碼。此服務可因應不同需求，讓使用者可選擇不同程度的身份資料揭露。個人資料將以 PIN 碼加密的方式儲存在裝置中。使用者可以自行掌控個人資料，進行無密碼驗證登入網站、簽署文件等目的。","身份驗證","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Go;Dart;Java","GPL v3","本專案為在地化成果，未涉及軟體開發作業。,;",""
"GOV.UK Notify","","https://github.com/moda-gov-tw/notifications-admin/;","GOV.UK Notify 是英國 GDS 政府數位服務團隊維運的公部門業務訊息傳遞服務平台。業務訊息包含電子郵件、簡訊、信函等。此為該服務背後的 Admin 管理頁面。這服務讓使用者無需程式編碼能力也可以編輯預設訊息範本、追蹤訊息傳送狀態、手動或自動傳送訊息。此程式提供開放原始碼，各單位可以整合需要的功能至自己的業務系統或平台以增加訊息傳遞與通知的功能。","公共服務通知","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Javascript;Python","MIT License","本專案為在地化成果，未涉及軟體開發作業。,;",""
"Standard for Public Code","","https://github.com/moda-gov-tw/publiccodenet.standard/;","Standard for Public Code 是由公共程式碼基金會（Foundation for Public Code）所制定的公共程式標準。目的為提供政府不同部門或協作組織之間，依循標準及指南開發軟體時，以利後續進行互相協作開發，並且重複使用各自的成果。此標準有利於公家機關透過協作方式，創造出好用、開放、易懂、課責、近用、永續的程式基底。","標準","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Shell","CC0 v1.0","本專案為在地化成果，未涉及軟體開發作業。,;",""
"Matrix Client (Element Series) Web","","https://github.com/moda-gov-tw/vector-im.element-web/;","Element 是 Matrix 核心團隊基於去中心化標準開發的開放原始碼通訊軟體。此為該服務基於 matrix-react-sdk 建置的網頁版軟體。可應用網際網路 IP based 進行即時通訊。基於其開放特性，可整合其他程式，快速建構即時交換資料系統。除此之外，亦可與 Slack、Telegram 等其它通訊軟體進行串聯。","即時通訊","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Javascript;TypeScript;React","Apache-2.0","本專案為在地化成果，未涉及軟體開發作業。,;",""
"GOV.UK Forms Product Pages","","https://github.com/moda-gov-tw/alphagov.forms-product-page/;","GOV.UK Forms 是英國 GDS 政府數位服務團隊維運之公部門線上表單平台。此為該服務的頁面產生器。此服務開放程式原始碼，可提供政府各機關與單位利用該平台之模版，建立可供外部填寫之簡易表單。 此服務具有自動檢查遞交內容功能，確認回填資料正確性；範本功能讓使用更便利；可追蹤表單遞交狀態，衡量表單的易用性。程式設計符合英國政府制定之網路安全標準，保護資料安全。","表單填寫/資料上傳","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Ruby;SCSS","MIT License","本專案為在地化成果，未涉及軟體開發作業。,;",""
"ODF文件應用工具","https://moda.gov.tw/digital-affairs/digital-service/app-services/248","https://github.com/MODAODF/MODA_ODF_Application_Tools;","為引導公務機關從文件製作、保存均以開放文件格式(ODF)處理，且使政府ODF文件能跨機關流通，本部基於開放文件軟體，發展適合公務機關使用之「ODF文件應用工具」，提供編輯標準ODF文件及支援CNS11643中文標準交換碼全字庫，並提供 Q＆A 問題回報程式，建立客服流程及諮詢服務，並將相關問題與回應提供其他使用者查詢。","文書處理","數位發展部","A29000000G","數位發展部 數位政府司","黃煌洲","huangchou@moda.gov.tw","02-2380-0225","","","Open Document Format;C++","LGPL-3.0、MPL-2.0","SonarQube,;",""
"行政院公共數位創新空間（PDIS）部落格","https://pdis.nat.gov.tw/","https://github.com/PDIS/web-jekyll;","行政院公共數位創新空間（PDIS）部落格。 一套使用 Jekyll 靜態網站生成器，從純文字的 markdown 文件產生靜態 HTML 的系統。具備中、英文雙語系。","靜態網站產生器;自動翻譯","行政院公共數位創新空間（PDIS）","pdis","行政院公共數位創新空間（PDIS）",,"all@pdis.nat.gov.tw",,"","行政院公共數位創新空間（PDIS）部落格,https://pdis.nat.gov.tw/,無障礙檢測結果：AAA;","Jekyll;Cloud Translation API","除另有標示外，內容以創用 CC BY 4.0 授權條款釋出。","GitHub CodeQL,;GitHub Dependabot Alerts,;",""
"Yivi (IRMA) scheme manager","","https://github.com/moda-gov-tw/privacybydesign.pbdf-schememanager;","Yivi 是開放原始碼的身份驗證服務。此為該服務管理器的原始碼。因應不同需求，使用者可選擇不同程度的身份資料揭露。個人資料將以 PIN 碼加密的方式儲存在裝置中。使用者可以自行掌控個人資料，進行無密碼驗證登入網站、簽署文件等目的。","身份驗證","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Python;Shell","GPL v3","本專案為在地化成果，未涉及軟體開發作業。,;",""
"publiccode.yml Editor","","https://github.com/moda-gov-tw/italia-publiccode-editor;","這個應用程式幫助您為您的專案創建並驗證一個 publiccode.yml 檔案。只需填寫表單即可生成一個符合最新標準的 YAML 檔案，然後您可以下載或複製到您的專案根目錄中。您也可以使用這個應用程式來檢查並糾正現有的 publiccode.yml 檔案。只需上傳檔案進行導入，應用程式將進行驗證並幫助修正任何問題。","公共服務通知","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","HTML/CSS;Javascript;SCSS","AGPL-3.0","本專案為在地化成果，未涉及軟體開發作業。,;",""
"臺北城市儀表板","https://citydashboard.taipei/","https://github.com/tpe-doit/Taipei-City-Dashboard;","臺北城市儀表板提供使用者進行圖資及數據圖表的交叉查閱，以資料時間、空間及統計等多維度趨勢呈現，並供使用者可針對關注的重點資料，自行客製主題頁面，讓使用者能在虛擬的三維圖台內，更即時的掌握城市脈動與分析相關數據。","地圖資訊呈現;數據呈現","臺北市政府資訊局","379730000A","臺北市政府資訊局","詹士民","wp6223@gov.taipei","02-27208889 ","51752","臺北城市儀表板 ,https://citydashboard.taipei/,無障礙檢測結果：;","Vue.js;Python;SQL Server;Go;PostgreSQL;Redis","AGPL-3","Checkmarx,;",""
"數位產業自願性溫室氣體盤查系統","","https://github.com/moda-gov-tw/moda-ghg-inventory-system-frontend;","為落實臺灣2050淨零目標, 基於公共程式碼的理念，以公私協力方式發展可行之數位工具, 以數位部為首，示範將公共程式碼模式導入公部門及數位產業，推動政府開放資料、與民協作的倡議, 建立碳盤查系統公共程式，提供各界運用，降低自主碳盤查門檻。","表單填寫/資料上傳;個案管理;數據呈現","數位發展部","A29000000G","數位發展部 民主網絡司","郭智宇","chihyukuo@moda.gov.tw","80345","","","MySQL;ASP.NET Core;C#","網頁文字圖片採取 CC0 授權方式，程式碼採取 MIT 的授權方式","HCL AppScan,;",""
